date, pm25
2020/6/8, 131
2020/6/9, 137
2020/6/10, 131
2020/6/11, 142
2020/6/12, 129
2020/6/13, 134
2020/6/14, 100
2020/6/15, 120
2020/6/16, 122
2020/6/17, 127
2020/6/18, 120
2020/6/19, 141
2020/6/20, 144
2020/6/22, 143
2020/6/23, 152
2020/6/24, 135
2020/6/25, 145
2020/6/26, 152
2020/6/27, 139
2020/6/28, 155
2020/6/29, 146
2020/6/30, 157
2020/1/1, 143
2020/1/2, 145
2020/1/3, 129
2020/1/4, 127
2020/1/5, 134
2020/1/6, 160
2020/1/7, 162
2020/1/8, 168
2020/1/14, 185
2020/1/15, 203
2020/1/16, 164
2020/1/17, 130
2020/1/18, 162
2020/1/19, 165
2020/1/20, 176
2020/1/21, 180
2020/1/22, 177
2020/1/23, 175
2020/1/24, 190
2020/1/25, 194
2020/1/26, 193
2020/1/27, 193
2020/1/28, 134
2020/1/29, 109
2020/1/30, 99
2020/1/31, 111
2020/2/1, 121
2020/2/2, 119
2020/2/3, 119
2020/2/4, 128
2020/2/5, 136
2020/2/6, 125
2020/2/7, 125
2020/2/8, 145
2020/2/9, 162
2020/2/10, 162
2020/2/11, 175
2020/2/12, 189
2020/2/13, 180
2020/2/14, 150
2020/2/15, 142
2020/2/16, 125
2020/2/17, 130
2020/2/18, 117
2020/2/19, 145
2020/2/20, 159
2020/2/21, 140
2020/2/22, 134
2020/2/23, 139
2020/2/24, 132
2020/2/25, 155
2020/2/26, 148
2020/2/27, 145
2020/2/28, 133
2020/2/29, 127
2020/3/1, 135
2020/3/2, 144
2020/3/3, 202
2020/3/4, 160
2020/3/5, 132
2020/3/6, 148
2020/3/7, 124
2020/3/8, 131
2020/3/9, 109
2020/3/10, 127
2020/3/11, 118
2020/3/12, 117
2020/3/13, 108
2020/3/14, 104
2020/3/15, 145
2020/3/16, 193
2020/3/17, 195
2020/3/18, 124
2020/3/19, 97
2020/3/20, 113
2020/3/21, 107
2020/3/22, 103
2020/3/23, 122
2020/3/24, 114
2020/3/25, 101
2020/3/26, 94
2020/3/27, 102
2020/3/28, 88
2020/3/29, 86
2020/3/30, 122
2020/3/31, 101
2019/10/1, 108
2019/10/2, 100
2019/10/3, 117
2019/10/4, 124
2019/10/5, 134
2019/10/6, 119
2019/10/7, 106
2019/10/8, 146
2019/10/9, 136
2019/10/10, 126
2019/10/11, 131
2019/10/12, 116
2019/10/13, 110
2019/10/14, 115
2019/10/15, 125
2019/10/16, 121
2019/10/17, 122
2019/10/18, 100
2019/10/19, 115
2019/10/20, 118
2019/10/21, 125
2019/10/22, 141
2019/10/23, 117
2019/10/24, 110
2019/10/25, 130
2019/10/26, 111
2019/10/27, 121
2019/10/28, 131
2019/10/29, 119
2019/10/30, 124
2019/10/31, 133
2019/11/1, 117
2019/11/2, 129
2019/11/3, 133
2019/11/4, 141
2019/11/5, 145
2019/11/6, 162
2019/11/7, 136
2019/11/8, 137
2019/11/9, 143
2019/11/10, 124
2019/11/11, 123
2019/11/12, 135
2019/11/13, 126
2019/11/14, 160
2019/11/15, 132
2019/11/16, 149
2019/11/17, 146
2019/11/18, 121
2019/11/19, 150
2019/11/20, 119
2019/11/21, 116
2019/11/22, 116
2019/11/23, 91
2019/11/24, 113
2019/11/25, 106
2019/11/26, 104
2019/11/27, 131
2019/11/28, 134
2019/11/29, 130
2019/11/30, 132
2019/12/1, 161
2019/12/2, 155
2019/12/3, 132
2019/12/4, 155
2019/12/5, 191
2019/12/6, 125
2019/12/7, 144
2019/12/8, 166
2019/12/9, 135
2019/12/10, 133
2019/12/11, 115
2019/12/12, 131
2019/12/13, 117
2019/12/14, 123
2019/12/15, 137
2019/12/16, 142
2019/12/17, 131
2019/12/18, 161
2019/12/19, 145
2019/12/20, 134
2019/12/21, 181
2019/12/22, 159
2019/12/23, 140
2019/12/24, 125
2019/12/25, 142
2019/12/26, 116
2019/12/27, 150
2019/12/28, 171
2019/12/29, 176
2019/7/1, 160
2019/7/2, 175
2019/7/3, 170
2019/7/4, 122
2019/7/5, 136
2019/7/6, 172
2019/7/7, 151
2019/7/8, 156
2019/7/9, 166
2019/7/10, 132
2019/7/11, 140
2019/7/12, 131
2019/7/13, 120
2019/7/14, 133
2019/7/15, 150
2019/7/16, 149
2019/7/17, 140
2019/7/18, 119
